Date,BTC-USD,^GSPC
2024-01-01,44167.33203125,
2024-01-02,44957.96875,4742.830078125
2024-01-03,42848.17578125,4704.81005859375
2024-01-04,44179.921875,4688.68017578125
2024-01-05,44162.69140625,4697.240234375
2024-01-06,43989.1953125,
2024-01-07,43943.09765625,
2024-01-08,46970.50390625,4763.5400390625
2024-01-09,46139.73046875,4756.5
2024-01-10,46627.77734375,4783.4501953125
2024-01-11,46368.5859375,4780.240234375
2024-01-12,42853.16796875,4783.830078125
2024-01-13,42842.3828125,
2024-01-14,41796.26953125,
2024-01-15,42511.96875,
2024-01-16,43154.9453125,4765.97998046875
2024-01-17,42742.65234375,4739.2099609375
2024-01-18,41262.05859375,4780.93994140625
2024-01-19,41618.40625,4839.81005859375
2024-01-20,41665.5859375,
2024-01-21,41545.78515625,
2024-01-22,39507.3671875,4850.43017578125
2024-01-23,39845.55078125,4864.60009765625
2024-01-24,40077.07421875,4868.5498046875
2024-01-25,39933.80859375,4894.16015625
2024-01-26,41816.87109375,4890.97021484375
2024-01-27,42120.0546875,
2024-01-28,42035.59375,
2024-01-29,43288.24609375,4927.93017578125
2024-01-30,42952.609375,4924.97021484375
2024-01-31,42582.60546875,4845.64990234375
2024-02-01,43075.7734375,4906.18994140625
2024-02-02,43185.859375,4958.60986328125
2024-02-03,42992.25,
2024-02-04,42583.58203125,
2024-02-05,42658.66796875,4942.81005859375
2024-02-06,43084.671875,4954.22998046875
2024-02-07,44318.22265625,4995.06005859375
2024-02-08,45301.56640625,4997.91015625
2024-02-09,47147.19921875,5026.60986328125
2024-02-10,47771.27734375,
2024-02-11,48293.91796875,
2024-02-12,49958.22265625,5021.83984375
2024-02-13,49742.44140625,4953.169921875
2024-02-14,51826.6953125,5000.6201171875
2024-02-15,51938.5546875,5029.72998046875
2024-02-16,52160.203125,5005.56982421875
2024-02-17,51662.99609375,
2024-02-18,52122.546875,
2024-02-19,51779.14453125,
2024-02-20,52284.875,4975.509765625
2024-02-21,51839.1796875,4981.7998046875
2024-02-22,51304.97265625,5087.02978515625
2024-02-23,50731.94921875,5088.7998046875
2024-02-24,51571.1015625,
2024-02-25,51733.23828125,
2024-02-26,54522.40234375,5069.52978515625
2024-02-27,57085.37109375,5078.18017578125
2024-02-28,62504.7890625,5069.759765625
2024-02-29,61198.3828125,5096.27001953125
2024-03-01,62440.6328125,5137.080078125
2024-03-02,62029.84765625,
2024-03-03,63167.37109375,
2024-03-04,68330.4140625,5130.9501953125
2024-03-05,63801.19921875,5078.64990234375
2024-03-06,66106.8046875,5104.759765625
2024-03-07,66925.484375,5157.35986328125
2024-03-08,68300.09375,5123.68994140625
2024-03-09,68498.8828125,
2024-03-10,69019.7890625,
2024-03-11,72123.90625,5117.93994140625
2024-03-12,71481.2890625,5175.27001953125
2024-03-13,73083.5,5165.31005859375
2024-03-14,71396.59375,5150.47998046875
2024-03-15,69403.7734375,5117.08984375
2024-03-16,65315.1171875,
2024-03-17,68390.625,
2024-03-18,67548.59375,5149.419921875
2024-03-19,61912.7734375,5178.509765625
2024-03-20,67913.671875,5224.6201171875
2024-03-21,65491.390625,5241.52978515625
2024-03-22,63778.76171875,5234.18017578125
2024-03-23,64062.203125,
2024-03-24,67234.171875,
2024-03-25,69958.8125,5218.18994140625
2024-03-26,69987.8359375,5203.580078125
2024-03-27,69455.34375,5248.490234375
2024-03-28,70744.953125,5254.35009765625
2024-03-29,69892.828125,
2024-03-30,69645.3046875,
2024-03-31,71333.6484375,
2024-04-01,69702.1484375,5243.77001953125
2024-04-02,65446.97265625,5205.81005859375
2024-04-03,65980.8125,5211.490234375
2024-04-04,68508.84375,5147.2099609375
2024-04-05,67837.640625,5204.33984375
2024-04-06,68896.109375,
2024-04-07,69362.5546875,
2024-04-08,71631.359375,5202.39013671875
2024-04-09,69139.015625,5209.91015625
2024-04-10,70587.8828125,5160.64013671875
2024-04-11,70060.609375,5199.06005859375
2024-04-12,67195.8671875,5123.41015625
2024-04-13,63821.47265625,
2024-04-14,65738.7265625,
2024-04-15,63426.2109375,5061.81982421875
2024-04-16,63811.86328125,5051.41015625
2024-04-17,61276.69140625,5022.2099609375
2024-04-18,63512.75390625,5011.1201171875
2024-04-19,63843.5703125,4967.22998046875
2024-04-20,64994.44140625,
2024-04-21,64926.64453125,
2024-04-22,66837.6796875,5010.60009765625
2024-04-23,66407.2734375,5070.5498046875
2024-04-24,64276.8984375,5071.6298828125
2024-04-25,64481.70703125,5048.419921875
2024-04-26,63755.3203125,5099.9599609375
2024-04-27,63419.140625,
2024-04-28,63113.23046875,
2024-04-29,63841.12109375,5116.169921875
2024-04-30,60636.85546875,5035.68994140625
2024-05-01,58254.01171875,5018.39013671875
2024-05-02,59123.43359375,5064.2001953125
2024-05-03,62889.8359375,5127.7900390625
2024-05-04,63891.47265625,
2024-05-05,64031.1328125,
2024-05-06,63161.94921875,5180.740234375
2024-05-07,62334.81640625,5187.7001953125
2024-05-08,61187.94140625,5187.669921875
2024-05-09,63049.9609375,5214.080078125
2024-05-10,60792.77734375,5222.68017578125
2024-05-11,60793.7109375,
2024-05-12,61448.39453125,
2024-05-13,62901.44921875,5221.419921875
2024-05-14,61552.7890625,5246.68017578125
2024-05-15,66267.4921875,5308.14990234375
2024-05-16,65231.58203125,5297.10009765625
2024-05-17,67051.875,5303.27001953125
2024-05-18,66940.8046875,
2024-05-19,66278.3671875,
2024-05-20,71448.1953125,5308.1298828125
2024-05-21,70136.53125,5321.41015625
2024-05-22,69122.3359375,5307.009765625
2024-05-23,67929.5625,5267.83984375
2024-05-24,68526.1015625,5304.72021484375
2024-05-25,69265.9453125,
2024-05-26,68518.09375,
2024-05-27,69394.5546875,
2024-05-28,68296.21875,5306.0400390625
2024-05-29,67578.09375,5266.9501953125
2024-05-30,68364.9921875,5235.47998046875
2024-05-31,67491.4140625,5277.509765625
2024-06-01,67706.9375,
